LundTax2023
TCGA-UY-A9PA-01A	UroB
TCGA-UY-A9PB-01A	BaSq
TCGA-UY-A9PD-01A	UroA
TCGA-UY-A9PE-01A	UroA
TCGA-UY-A9PF-01A	UroA
TCGA-UY-A9PH-01A	UroB
TCGA-XF-A8HB-01A	UroB
TCGA-XF-A8HC-01A	GU
TCGA-XF-A8HD-01A	GU
TCGA-XF-A8HE-01A	BaSq
TCGA-XF-A8HF-01A	UroC
TCGA-XF-A8HG-01A	UroA
TCGA-XF-A8HH-01A	UroA
TCGA-XF-A8HI-01A	UroA
TCGA-XF-A9SH-01A	UroA
TCGA-XF-A9SI-01A	GU
TCGA-XF-A9SJ-01A	GU
TCGA-XF-A9SK-01A	UroB
TCGA-XF-A9SL-01A	GU
TCGA-XF-A9SM-01A	BaSq
TCGA-XF-A9SP-01A	UroB
TCGA-XF-A9ST-01A	GU
TCGA-XF-A9SU-01A	UroA
TCGA-XF-A9SV-01A	UroA
TCGA-XF-A9SW-01A	GU
TCGA-XF-A9SX-01A	BaSq
TCGA-XF-A9SY-01A	BaSq
TCGA-XF-A9SZ-01A	UroB
TCGA-XF-A9T0-01A	UroA
TCGA-XF-A9T2-01A	ScNE
TCGA-XF-A9T3-01A	BaSq
TCGA-XF-A9T4-01A	BaSq
TCGA-XF-A9T5-01A	BaSq
TCGA-XF-A9T6-01A	BaSq
TCGA-XF-A9T8-01A	BaSq
TCGA-XF-AAME-01A	BaSq
TCGA-XF-AAMG-01A	GU
TCGA-XF-AAMH-01A	GU
TCGA-XF-AAMJ-01A	UroB
TCGA-XF-AAML-01A	GU
TCGA-XF-AAMQ-01A	UroB
TCGA-XF-AAMR-01A	UroB
TCGA-XF-AAMT-01A	BaSq
TCGA-XF-AAMW-01A	BaSq
TCGA-XF-AAMX-01A	UroA
TCGA-XF-AAMY-01A	UroA
TCGA-XF-AAMZ-01A	UroA
TCGA-XF-AAN0-01A	GU
TCGA-XF-AAN1-01A	UroA
TCGA-XF-AAN2-01A	GU
TCGA-XF-AAN3-01A	BaSq
TCGA-XF-AAN4-01A	BaSq
TCGA-XF-AAN5-01A	BaSq
TCGA-XF-AAN7-01A	ScNE
TCGA-XF-AAN8-01A	Mes
TCGA-YC-A89H-01A	UroA
TCGA-YC-A8S6-01A	UroB
TCGA-YC-A9TC-01A	ScNE
TCGA-YF-AA3L-01A	UroA
TCGA-YF-AA3M-01A	GU
TCGA-ZF-A9R0-01A	UroA
TCGA-ZF-A9R1-01A	UroA
TCGA-ZF-A9R2-01A	UroA
TCGA-ZF-A9R3-01A	UroA
TCGA-ZF-A9R4-01A	UroA
TCGA-ZF-A9R5-01A	UroA
TCGA-ZF-A9R7-01A	UroB
TCGA-ZF-A9R9-01A	UroC
TCGA-ZF-A9RC-01A	UroA
TCGA-ZF-A9RD-01A	BaSq
TCGA-ZF-A9RE-01A	BaSq
TCGA-ZF-A9RF-01A	Mes
TCGA-ZF-A9RL-01A	UroA
TCGA-ZF-A9RM-01A	UroA
TCGA-ZF-A9RN-01A	ScNE
TCGA-ZF-AA4N-01A	BaSq
TCGA-ZF-AA4R-01A	GU
TCGA-ZF-AA4T-01A	GU
TCGA-ZF-AA4U-01A	UroB
TCGA-ZF-AA4V-01A	GU
TCGA-ZF-AA4W-01A	BaSq
TCGA-ZF-AA4X-01A	GU
TCGA-ZF-AA51-01A	UroC
TCGA-ZF-AA52-01A	GU
TCGA-ZF-AA53-01A	BaSq
TCGA-ZF-AA54-01A	Mes
TCGA-ZF-AA56-01A	BaSq
TCGA-ZF-AA58-01A	BaSq
TCGA-ZF-AA5H-01A	BaSq
TCGA-ZF-AA5N-01A	UroB
TCGA-ZF-AA5P-01A	GU
